PLAYER NAME,ROUNDS---sg: approach the green---APPROACH THE GREEN,AVERAGE---sg: approach the green---APPROACH THE GREEN,TOTAL SG:APP---sg: approach the green---APPROACH THE GREEN,MEASURED ROUNDS---sg: approach the green---APPROACH THE GREEN,%---greens in regulation percentage---APPROACH THE GREEN,GREENS HIT---greens in regulation percentage---APPROACH THE GREEN,# HOLES---greens in regulation percentage---APPROACH THE GREEN,RELATIVE/PAR---greens in regulation percentage---APPROACH THE GREEN,AVG---average distance of birdie putts made---PUTTING,TOT DIST. (FT)---average distance of birdie putts made---PUTTING,TOT BIRDIE PUTTS MADE---average distance of birdie putts made---PUTTING,LONGEST MADE (FT)---average distance of birdie putts made---PUTTING,SHORTEST MADE (FT)---average distance of birdie putts made---PUTTING,AVG---average putting distance - all 1 putts---PUTTING,DISTANCE (FEET)---average putting distance - all 1 putts---PUTTING,TOTAL PUTTS---average putting distance - all 1 putts---PUTTING,AVG---putts per round - round 3---PUTTING,TOTAL PUTTS---putts per round - round 3---PUTTING,TOTAL ROUNDS---putts per round - round 3---PUTTING,AVG---overall putting average---PUTTING,# OF PUTTS---overall putting average---PUTTING,# OF HOLES---overall putting average---PUTTING,AVG---putts per round - round 2---PUTTING,TOTAL PUTTS---putts per round - round 2---PUTTING,TOTAL ROUNDS---putts per round - round 2---PUTTING,AVG---putts per round - round 1---PUTTING,TOTAL PUTTS---putts per round - round 1---PUTTING,TOTAL ROUNDS---putts per round - round 1---PUTTING,AVG---putts per round---PUTTING,TOTAL PUTTS---putts per round---PUTTING,TOTAL ROUNDS---putts per round---PUTTING,LOW TOTAL PUTTS---putts per round---PUTTING,AVG---putts per round - round 4---PUTTING,TOTAL PUTTS---putts per round - round 4---PUTTING,TOTAL ROUNDS---putts per round - round 4---PUTTING,AVG---3-putts per round---PUTTING,TOTAL 3 PUTTS---3-putts per round---PUTTING,TOTAL ROUNDS---3-putts per round---PUTTING,%---3-putt avoidance---PUTTING,TOTAL 3 PUTTS---3-putt avoidance---PUTTING,TOTAL HOLES (OVERALL)---3-putt avoidance---PUTTING,TOTAL---total 1 putts - inside 5'---PUTTING,TOTAL (FOR ALL DISTANCES)---total 1 putts - inside 5'---PUTTING,PCT OF ALL 1-PUTTS---total 1 putts - inside 5'---PUTTING,AVERAGE---sg: putting---PUTTING,TOTAL SG:PUTTING---sg: putting---PUTTING,MEASURED ROUNDS---sg: putting---PUTTING,AVG---1-putts per round---PUTTING,TOTAL 1 PUTTS---1-putts per round---PUTTING,TOTAL ROUNDS---1-putts per round---PUTTING,%---one-putt percentage---PUTTING,# OF 1 PUTTS---one-putt percentage---PUTTING,# OF HOLES---one-putt percentage---PUTTING,AVG DTP---proximity to hole (arg)---AROUND THE GREEN,TOTAL DISTANCE (FEET)---proximity to hole (arg)---AROUND THE GREEN,# OF SHOTS---proximity to hole (arg)---AROUND THE GREEN,SCRAMBLING RANK---proximity to hole (arg)---AROUND THE GREEN,%---scrambling---AROUND THE GREEN,PAR OR BETTER---scrambling---AROUND THE GREEN,MISSED GIR---scrambling---AROUND THE GREEN,AVERAGE---sg: around-the-green---AROUND THE GREEN,TOTAL SG:ARG---sg: around-the-green---AROUND THE GREEN,MEASURED ROUNDS---sg: around-the-green---AROUND THE GREEN,%---sand save percentage---AROUND THE GREEN,# SAVES---sand save percentage---AROUND THE GREEN,# BUNKERS---sand save percentage---AROUND THE GREEN,TOTAL O/U PAR---sand save percentage---AROUND THE GREEN,AVG---round 4 scoring average---SCORING,TOTAL STROKES---round 4 scoring average---SCORING,TOTAL ROUNDS---round 4 scoring average---SCORING,AVG---round 3 scoring average---SCORING,TOTAL STROKES---round 3 scoring average---SCORING,TOTAL ROUNDS---round 3 scoring average---SCORING,AVG---round 2 scoring average---SCORING,TOTAL STROKES---round 2 scoring average---SCORING,TOTAL ROUNDS---round 2 scoring average---SCORING,AVG---round 1 scoring average---SCORING,TOTAL STROKES---round 1 scoring average---SCORING,TOTAL ROUNDS---round 1 scoring average---SCORING,AVG---final round scoring average---SCORING,TOTAL STROKES---final round scoring average---SCORING,TOTAL ROUNDS---final round scoring average---SCORING,%---birdie or better percentage---SCORING,TOTAL BIRDIES---birdie or better percentage---SCORING,TOTAL HOLES---birdie or better percentage---SCORING,GIR RANK---birdie or better percentage---SCORING,TOTAL---total birdies---SCORING,TOTAL---total eagles---SCORING,AVG---scoring average (actual)---SCORING,TOTAL STROKES---scoring average (actual)---SCORING,TOTAL ROUNDS---scoring average (actual)---SCORING,AVERAGE---sg: total---SCORING,TOTAL SG:T---sg: total---SCORING,TOTAL SG:T2G---sg: total---SCORING,TOTAL SG:P---sg: total---SCORING,MEASURED ROUNDS---sg: total---SCORING,AVG---scoring average---SCORING,TOTAL STROKES---scoring average---SCORING,TOTAL ADJUSTMENT---scoring average---SCORING,TOTAL ROUNDS---scoring average---SCORING,VALUE---ball striking---OFF THE TEE,TOTAL DRV RANK---ball striking---OFF THE TEE,GIR RANK---ball striking---OFF THE TEE,EVENTS---total driving---OFF THE TEE,TOTAL---total driving---OFF THE TEE,DISTANCE RANK---total driving---OFF THE TEE,ACCURACY RANK---total driving---OFF THE TEE,%---hit fairway percentage---OFF THE TEE,FAIRWAYS HIT---hit fairway percentage---OFF THE TEE,POSSIBLE FAIRWAYS---hit fairway percentage---OFF THE TEE,RELATIVE TO PAR---hit fairway percentage---OFF THE TEE,EVENTS---right tendency---OFF THE TEE,%---right tendency---OFF THE TEE,NUMBER OF TIMES---right tendency---OFF THE TEE,ATTEMPTS---right tendency---OFF THE TEE,AVG RTP SCORE---right tendency---OFF THE TEE,EVENTS---distance from center of fairway---OFF THE TEE,AVG---distance from center of fairway---OFF THE TEE,TOTAL DISTANCE (FEET)---distance from center of fairway---OFF THE TEE,TOTAL STROKES---distance from center of fairway---OFF THE TEE,EVENTS---distance from edge of fairway---OFF THE TEE,AVG---distance from edge of fairway---OFF THE TEE,TOTAL DISTANCE (FEET)---distance from edge of fairway---OFF THE TEE,TOTAL STROKES---distance from edge of fairway---OFF THE TEE,%---rough tendency---OFF THE TEE,TOTAL ROUGH---rough tendency---OFF THE TEE,POSSIBLE FWYS---rough tendency---OFF THE TEE,RELATIVE TO PAR---rough tendency---OFF THE TEE,AVG (%)---percentage of yardage covered by tee shots - par 5's---OFF THE TEE,TOTAL SHOT DISTANCE---percentage of yardage covered by tee shots - par 5's---OFF THE TEE,TOTAL DISTANCE---percentage of yardage covered by tee shots - par 5's---OFF THE TEE,AVG (%)---percentage of yardage covered by tee shots - par 4's---OFF THE TEE,TOTAL SHOT DISTANCE---percentage of yardage covered by tee shots - par 4's---OFF THE TEE,TOTAL DISTANCE---percentage of yardage covered by tee shots - par 4's---OFF THE TEE,AVG (%)---percentage of yardage covered by tee shots---OFF THE TEE,TOTAL SHOT DISTANCE---percentage of yardage covered by tee shots---OFF THE TEE,TOTAL DISTANCE---percentage of yardage covered by tee shots---OFF THE TEE,EVENTS---left tendency---OFF THE TEE,%---left tendency---OFF THE TEE,NUMBER OF TIMES---left tendency---OFF THE TEE,ATTEMPTS---left tendency---OFF THE TEE,AVG RTP SCORE---left tendency---OFF THE TEE,%---driving accuracy percentage---OFF THE TEE,FAIRWAYS HIT---driving accuracy percentage---OFF THE TEE,POSSIBLE FAIRWAYS---driving accuracy percentage---OFF THE TEE,AVG.---driving distance---OFF THE TEE,TOTAL DISTANCE---driving distance---OFF THE TEE,TOTAL DRIVES---driving distance---OFF THE TEE,AVERAGE---sg: off-the-tee---OFF THE TEE,TOTAL SG:OTT---sg: off-the-tee---OFF THE TEE,MEASURED ROUNDS---sg: off-the-tee---OFF THE TEE,AVERAGE---sg: tee-to-green---OFF THE TEE,SG:OTT---sg: tee-to-green---OFF THE TEE,SG:APR---sg: tee-to-green---OFF THE TEE,SG:ARG---sg: tee-to-green---OFF THE TEE,MEASURED ROUNDS---sg: tee-to-green---OFF THE TEE,%---going for the green - birdie or better---APPROACH THE GREEN,# OF BIRDIE OR BETTER---going for the green - birdie or better---APPROACH THE GREEN,ATTEMPTS---going for the green - birdie or better---APPROACH THE GREEN,RTP-SUCCESSES---going for the green - birdie or better---APPROACH THE GREEN,RTP-NOT GOING FOR THE GRN---going for the green - birdie or better---APPROACH THE GREEN,%---going for the green - hit green pct.---APPROACH THE GREEN,SUCCESSES---going for the green - hit green pct.---APPROACH THE GREEN,ATTEMPTS---going for the green - hit green pct.---APPROACH THE GREEN,RTP-SUCCESSES---going for the green - hit green pct.---APPROACH THE GREEN,RTP-NOT GOING FOR THE GRN---going for the green - hit green pct.---APPROACH THE GREEN,%---birdie or better percentage - right rough---APPROACH THE GREEN,TOTAL BIRDIES---birdie or better percentage - right rough---APPROACH THE GREEN,TOTAL HOLES---birdie or better percentage - right rough---APPROACH THE GREEN,%---birdie or better percentage - left rough---APPROACH THE GREEN,TOTAL BIRDIES---birdie or better percentage - left rough---APPROACH THE GREEN,TOTAL HOLES---birdie or better percentage - left rough---APPROACH THE GREEN,AVG---rough proximity---APPROACH THE GREEN,TOTAL DISTANCE (INCHES)---rough proximity---APPROACH THE GREEN,ATTEMPTS---rough proximity---APPROACH THE GREEN,TOTAL DISTANCE (FEET)---rough proximity---APPROACH THE GREEN,RELATIVE TO PAR---rough proximity---APPROACH THE GREEN,%---birdie or better percentage - fairway---APPROACH THE GREEN,TOTAL BIRDIES---birdie or better percentage - fairway---APPROACH THE GREEN,TOTAL HOLES---birdie or better percentage - fairway---APPROACH THE GREEN,AVG---proximity to hole---APPROACH THE GREEN,TOTAL DISTANCE (FEET)---proximity to hole---APPROACH THE GREEN,# OF ATTEMPTS---proximity to hole---APPROACH THE GREEN,GIR RANK---proximity to hole---APPROACH THE GREEN,%---gir percentage from other than fairway---APPROACH THE GREEN,GREENS HIT---gir percentage from other than fairway---APPROACH THE GREEN,# OF HOLES---gir percentage from other than fairway---APPROACH THE GREEN,%---gir percentage from fairway---APPROACH THE GREEN,GREENS HIT---gir percentage from fairway---APPROACH THE GREEN,# OF HOLES---gir percentage from fairway---APPROACH THE GREEN
Collin Morikawa,83,1.17,77.191,66,70.8,994,1404,-0.31,"8' 3""",2243.917,272,38,"4""","6' 8""",3101.917,466,29.28,527,18,1.611,2262,1404,28.52,599,21,29.24,614,21,29.0,2262,78,23,29.0,522,18,0.41,32,78,2.28,32,1404,234,466,50.2,-0.457,-30.151,66,7.05,550,78,39.17,550,1404,"6' 10""",2748.083,403,139,57.56,236,410,0.077,5.082,66,53.93,48,89,16.0,69.89,1258,18,69.78,1256,18,68.95,1448,21,70.19,1474,21,69.89,1258,18,23.93,336,1404,5,330,6,69.69,5436,78,1.071,70.683,100.835,-30.151,66,70.109,5436,32.515,78,15,10,5,23,122,112,10,69.37,641,924,-0.26,23,49.8,121,243,+0.41,23,"25' 10""",14747.667,571,23,"21' 8""",5122.75,236,21.32,197,924,+1.17,52.3,639682,122321,65.44,2036233,311173,61.73,2675915,433494,23,50.2,122,243,+1.97,69.6,760,1092,295.2,46053,156,0.281,18.534,66,1.528,0.281,1.17,0.077,66,60.82,104,171,-108,-11.00,18.13,31,171,-31,-11.00,19.28,16,83,11.11,9,81,"46' 3""",90983,164,7581.917,+22.00,26.16,242,925,"33' 9""",39755.333,1177,1 Under,54.22,180,332,80.13,609,760
Paul Casey,75,0.895,51.92,58,68.83,892,1296,-0.28,"8' 2""",1858.5,228,40,"2""","6' 7""",2698.833,411,29.35,499,17,1.625,2106,1296,29.05,552,19,29.32,557,19,29.25,2106,72,25,29.29,498,17,0.56,40,72,3.09,40,1296,221,411,53.8,-0.073,-4.248,58,6.89,496,72,38.27,496,1296,"7' 1""",2484.333,350,37,61.63,249,404,0.14,8.121,58,47.19,42,89,25.0,70.76,1203,17,69.35,1179,17,69.79,1326,19,70.47,1339,19,70.76,1203,17,22.3,289,1296,29,281,8,70.1,5047,72,1.22,70.755,75.005,-4.248,58,70.176,5047,5.679,72,39,10,29,20,122,41,81,62.63,501,800,-0.24,20,46.3,107,231,+0.37,20,"25' 9""",11116.583,432,20,"28' 11""",6497.0,225,23.13,185,800,+0.11,53.65,606873,113121,65.56,1731739,264149,61.99,2338612,377270,20,53.7,124,231,+0.97,62.2,622,1000,303.9,43760,144,0.258,14.95,58,1.293,0.258,0.895,0.14,58,65.1,97,149,-103,-9.00,26.85,40,149,-41,-9.00,16.05,13,81,21.25,17,80,"44' 5""",85799,161,7149.917,+8.00,25.74,200,777,"34' 0""",35040.833,1030,1 Under,54.76,207,378,78.46,488,622
Justin Thomas,87,0.887,60.283,68,67.79,1025,1512,-0.35,"8' 1""",2310.083,285,61,"3""","6' 10""",3643.25,531,28.35,567,20,1.582,2392,1512,28.36,624,22,28.32,623,22,28.48,2392,84,23,28.9,578,20,0.45,38,84,2.58,39,1512,276,531,52.0,0.026,1.763,68,7.76,652,84,43.12,652,1512,"7' 0""",2857.5,408,34,61.81,301,487,0.296,20.158,68,56.06,74,132,37.0,70.45,1409,20,69.05,1381,20,69.0,1518,22,69.68,1533,22,70.45,1409,20,25.0,378,1512,52,362,16,69.54,5841,84,1.444,98.176,96.414,1.763,68,69.773,5841,19.955,84,185,133,52,23,210,41,169,54.97,520,946,-0.32,23,52.5,179,341,+1.51,23,"25' 8""",11860.333,462,23,"27' 3""",8957.583,329,30.34,287,946,-0.17,54.02,696911,129012,67.04,2138630,319027,63.29,2835541,448039,23,47.5,162,341,+0.25,55.72,653,1172,303.9,51063,168,0.235,15.961,68,1.418,0.235,0.887,0.296,68,62.78,113,180,-126,-7.00,30.0,54,180,-62,-7.00,15.44,21,136,21.93,25,114,"47' 1""",141157,250,11763.083,-1.00,28.1,236,840,"35' 3""",42651.917,1210,1 Under,51.25,266,519,82.08,536,653
Keegan Bradley,90,0.856,66.749,78,69.96,1083,1548,-0.27,"8' 9""",2468.75,281,56,"3""","7' 2""",3633.75,506,29.53,502,17,1.642,2542,1548,29.42,765,26,29.38,764,26,29.56,2542,86,23,30.06,511,17,0.56,48,86,3.17,49,1548,277,506,54.7,-0.548,-42.777,78,6.49,558,86,36.05,558,1548,"7' 7""",3474.25,460,98,59.14,275,465,0.165,12.907,78,50.0,53,106,21.0,70.71,1202,17,69.71,1185,17,70.73,1839,26,69.65,1811,26,70.71,1202,17,21.64,335,1548,12,324,11,70.2,6037,86,0.8,62.396,105.174,-42.777,78,70.489,6037,25.084,86,17,5,12,27,109,61,48,65.58,705,1075,-0.21,27,50.7,171,337,+1.11,27,"24' 11""",16814.583,675,27,"27' 5""",9330.25,340,23.81,256,1075,+0.59,53.05,788721,148681,66.69,2375456,356183,62.67,3164177,504864,27,49.3,166,337,+1.33,65.03,779,1198,300.2,51638,172,0.327,25.519,78,1.348,0.327,0.856,0.165,78,58.42,118,202,-125,-8.00,25.25,51,202,-54,-8.00,13.91,16,115,16.82,18,107,"45' 7""",121419,222,10118.25,+21.00,23.85,250,1048,"35' 5""",49318.0,1391,1 Under,52.03,218,419,80.87,630,779
Daniel Berger,87,0.834,60.915,73,70.5,1066,1512,-0.31,"9' 10""",2962.667,301,77,"4""","7' 11""",4168.417,525,28.45,569,20,1.604,2426,1512,28.45,626,22,29.91,658,22,28.88,2426,84,23,28.65,573,20,0.4,34,84,2.25,34,1512,257,525,49.0,0.214,15.593,73,7.14,600,84,39.68,600,1512,"7' 5""",3218.667,432,17,63.0,281,446,-0.017,-1.209,73,54.92,67,122,23.0,68.75,1375,20,69.0,1380,20,69.05,1519,22,70.14,1543,22,68.75,1375,20,24.07,364,1512,7,355,9,69.25,5817,84,1.296,94.573,78.982,15.593,73,69.862,5817,51.375,84,27,20,7,23,143,99,44,65.55,666,1016,-0.23,23,60.8,166,273,+0.48,23,"25' 3""",15087.833,597,23,"21' 5""",5819.5,272,24.9,253,1016,-0.24,52.98,712007,134394,65.13,2238426,343696,61.71,2950433,478090,23,39.2,107,273,E,65.48,770,1176,296.7,49841,168,0.264,19.245,73,1.082,0.264,0.834,-0.017,73,62.63,119,190,-127,-21.00,26.32,50,190,-54,-21.00,19.2,24,125,21.74,20,92,"44' 10""",116654,217,9721.167,-1.00,25.05,249,994,"35' 3""",46191.5,1309,2 Under,56.16,228,406,79.61,613,770
Russell Henley,87,0.831,64.8,78,69.44,1050,1512,-0.27,"9' 5""",2672.417,285,58,"3""","7' 7""",4127.333,547,29.39,529,18,1.62,2449,1512,29.42,706,24,28.33,680,24,29.15,2449,84,22,29.67,534,18,0.44,37,84,2.51,38,1512,259,547,47.3,0.025,1.98,78,7.0,588,84,38.89,588,1512,"8' 4""",3756.75,449,12,63.85,295,462,0.024,1.875,78,59.29,67,113,18.0,69.78,1256,18,69.11,1244,18,69.88,1677,24,69.63,1671,24,69.78,1256,18,21.16,320,1512,18,313,7,69.62,5848,84,0.952,74.223,72.247,1.98,78,70.117,5848,41.807,84,107,89,18,25,189,162,27,67.07,723,1078,-0.22,25,44.1,137,311,+1.46,25,"25' 4""",17263.417,682,25,"22' 3""",6820.583,307,23.01,248,1078,+0.24,51.7,705742,136502,64.97,2381977,366651,61.37,3087719,503153,25,55.9,174,311,-0.23,67.07,782,1166,289.8,48689,168,0.071,5.542,78,0.926,0.071,0.831,0.024,78,58.33,91,156,-98,-17.00,22.44,35,156,-35,-17.00,13.76,15,109,25.86,30,116,"40' 7""",109638,225,9136.5,E,22.4,241,1076,"33' 5""",46695.417,1396,1 Under,54.95,211,384,80.56,630,782
Will Zalatoris,90,0.751,51.035,68,69.54,1089,1566,-0.28,"9' 0""",2124.417,237,44,"5""","7' 8""",3375.75,442,29.45,589,20,1.637,2563,1566,29.09,669,23,29.88,717,24,29.46,2563,87,24,29.4,588,20,0.6,52,87,3.38,53,1566,209,442,47.3,-0.066,-4.506,68,6.61,575,87,36.72,575,1566,"7' 11""",3301.5,418,44,61.22,292,477,0.114,7.772,68,48.15,52,108,21.0,70.3,1406,20,69.45,1389,20,69.87,1607,23,70.04,1681,24,70.3,1406,20,22.22,348,1566,17,332,16,69.92,6083,87,1.118,76.016,80.525,-4.506,68,70.065,6083,12.642,87,96,79,17,25,185,23,162,56.26,530,942,-0.24,25,54.2,186,343,+1.02,25,"26' 2""",12817.667,490,25,"30' 5""",10593.417,348,32.7,308,942,+0.52,54.21,673311,124214,67.19,2148272,319718,63.56,2821583,443932,25,45.8,157,343,+0.32,56.4,687,1218,307.4,53493,174,0.319,21.686,68,1.184,0.319,0.751,0.114,68,62.28,104,167,-114,-9.00,26.95,45,167,-49,-9.00,13.57,19,140,18.49,22,119,"45' 2""",140284,259,11690.333,+17.00,23.0,198,861,"36' 3""",44134.0,1218,1 Under,56.12,298,531,81.08,557,687
Jon Rahm,86,0.717,45.885,64,71.93,997,1386,-0.34,"8' 6""",2441.333,286,54,"1""","7' 3""",3320.667,458,28.95,550,19,1.61,2231,1386,28.55,571,20,29.0,580,20,28.97,2231,77,23,29.44,530,18,0.36,28,77,2.02,28,1386,251,458,54.8,0.331,21.174,64,7.1,547,77,39.47,547,1386,"7' 6""",2917.917,388,19,62.98,245,389,0.216,13.848,64,55.56,60,108,13.0,69.0,1242,18,69.42,1319,19,68.8,1376,20,68.95,1379,20,69.0,1242,18,25.83,358,1386,2,347,11,69.04,5316,77,2.098,134.286,113.113,21.174,64,69.3,5316,20.067,77,3,1,2,22,80,19,61,62.53,559,894,-0.33,22,52.1,135,259,+0.67,22,"26' 7""",12979.333,488,22,"23' 0""",5835.167,254,25.39,227,894,+0.31,54.72,704123,128670,67.48,2007820,297529,63.63,2711943,426199,22,47.9,124,259,+1.29,63.73,687,1078,309.0,47580,154,0.834,53.366,64,1.767,0.834,0.717,0.216,64,69.19,137,198,-143,-7.00,27.27,54,198,-59,-7.00,17.48,18,103,12.5,11,88,"47' 3""",108295,191,9024.583,+13.00,28.65,245,855,"36' 4""",41587.083,1145,2 Under,55.5,217,391,84.28,579,687
Corey Conners,107,0.698,58.661,84,69.93,1309,1872,-0.3,"9' 11""",3170.75,319,38,"5""","7' 8""",4583.333,596,29.38,705,24,1.626,3044,1872,29.36,822,28,29.0,812,28,29.27,3044,104,23,29.38,705,24,0.53,55,104,2.99,56,1872,278,596,46.6,-0.008,-0.71,84,6.95,723,104,38.62,723,1872,"7' 11""",4076.25,516,114,58.44,329,563,-0.173,-14.525,84,46.67,63,135,49.0,69.92,1678,24,69.67,1672,24,69.89,1957,28,70.0,1960,28,69.92,1678,24,23.02,431,1872,13,415,16,69.88,7267,104,1.142,95.915,96.626,-0.71,84,70.067,7267,20.015,104,21,8,13,29,117,110,7,68.79,800,1163,-0.21,29,50.0,161,322,+1.43,29,"23' 7""",17842.583,756,29,"21' 3""",6798.25,320,21.93,255,1163,+0.94,52.46,840114,160148,66.25,2554790,385614,62.2,3394904,545762,29,50.0,161,322,+1.37,70.15,1013,1444,295.4,61440,208,0.625,52.463,84,1.15,0.625,0.698,-0.173,84,56.38,106,188,-114,-15.00,23.4,44,188,-41,-15.00,14.02,15,107,16.22,18,111,"45' 1""",117880,218,9823.333,+21.00,24.23,285,1176,"34' 11""",52334.833,1499,1 Under,54.99,237,431,78.97,800,1013
Cameron Percy,85,0.698,41.854,60,72.58,1006,1386,-0.25,"9' 11""",2080.25,210,59,"2""","7' 5""",2861.75,386,30.67,460,15,1.649,2286,1386,29.27,644,22,29.6,740,25,29.69,2286,77,23,29.47,442,15,0.51,39,77,2.89,40,1386,205,386,53.1,-0.352,-21.1,60,6.51,501,77,36.15,501,1386,"7' 7""",2417.0,318,146,57.11,217,380,-0.123,-7.352,60,50.0,43,86,16.0,69.53,1043,15,71.13,1067,15,70.32,1547,22,70.48,1762,25,69.53,1043,15,20.85,289,1386,1,282,7,70.38,5419,77,0.108,6.486,27.587,-21.1,60,71.037,5419,50.869,77,164,163,1,27,242,179,63,63.27,527,833,-0.17,27,50.8,151,297,+1.59,27,"23' 9""",12375.167,521,27,"24' 4""",7193.833,296,27.37,228,833,+0.31,51.14,582851,113972,66.04,1784447,270200,61.62,2367298,384172,27,49.2,146,297,+0.75,63.66,685,1076,286.7,44150,154,-0.115,-6.917,60,0.46,-0.115,0.698,-0.123,60,57.89,66,114,-71,-10.00,21.05,24,114,-24,-10.00,16.0,16,100,17.27,19,110,"39' 5""",99407,210,8283.917,+10.00,22.31,178,798,"33' 9""",36239.0,1074,1 Under,59.34,232,391,81.31,557,685
